"Statistic Label","Census Year","Sex","County of Usual Residence","UNIT","VALUE"
"Non - Irish speakers","2022","Female","Clare","Number","28997"
"Non - Irish speakers","2022","Female","Cork City and Cork County","Number","140600"
"Non - Irish speakers","2022","Female","Kerry","Number","37863"
"Non - Irish speakers","2022","Female","Limerick City and County","Number","49530"
"Non - Irish speakers","2022","Female","Tipperary","Number","41069"
"Non - Irish speakers","2022","Female","Waterford City and County","Number","31807"
"Non - Irish speakers","2022","Female","Galway City","Number","19974"
"Non - Irish speakers","2022","Female","Galway County","Number","41232"
"Non - Irish speakers","2022","Female","Leitrim","Number","8940"
"Non - Irish speakers","2022","Female","Mayo","Number","33011"
"Non - Irish speakers","2022","Female","Roscommon","Number","17382"
"Non - Irish speakers","2022","Female","Sligo","Number","17622"
"Non - Irish speakers","2022","Female","Cavan","Number","22173"
"Non - Irish speakers","2022","Female","Donegal","Number","45199"
"Non - Irish speakers","2022","Female","Monaghan","Number","16762"
"Ability to speak Irish - Not stated","2022","Both sexes","State","Number","342688"
"Ability to speak Irish - Not stated","2022","Both sexes","Carlow","Number","3933"
"Ability to speak Irish - Not stated","2022","Both sexes","Dublin City","Number","78421"
"Ability to speak Irish - Not stated","2022","Both sexes","Dún Laoghaire-Rathdown","Number","7753"
"Ability to speak Irish - Not stated","2022","Both sexes","Fingal","Number","23301"
"Ability to speak Irish - Not stated","2022","Both sexes","South Dublin","Number","20460"
"Ability to speak Irish - Not stated","2022","Both sexes","Kildare","Number","11640"
"Ability to speak Irish - Not stated","2022","Both sexes","Kilkenny","Number","4906"
"Ability to speak Irish - Not stated","2022","Both sexes","Laois","Number","5090"
"Ability to speak Irish - Not stated","2022","Both sexes","Longford","Number","5692"
"Ability to speak Irish - Not stated","2022","Both sexes","Louth","Number","9565"
"Ability to speak Irish - Not stated","2022","Both sexes","Meath","Number","9376"
"Ability to speak Irish - Not stated","2022","Both sexes","Offaly","Number","4647"
"Ability to speak Irish - Not stated","2022","Both sexes","Westmeath","Number","6828"
"Ability to speak Irish - Not stated","2022","Both sexes","Wexford","Number","8240"
"Ability to speak Irish - Not stated","2022","Both sexes","Wicklow","Number","7175"
"Ability to speak Irish - Not stated","2022","Both sexes","Clare","Number","8200"
"Ability to speak Irish - Not stated","2022","Both sexes","Cork City and Cork County","Number","32741"
"Ability to speak Irish - Not stated","2022","Both sexes","Kerry","Number","8637"
"Ability to speak Irish - Not stated","2022","Both sexes","Limerick City and County","Number","19691"
"Ability to speak Irish - Not stated","2022","Both sexes","Tipperary","Number","8843"
"Ability to speak Irish - Not stated","2022","Both sexes","Waterford City and County","Number","8663"
"Ability to speak Irish - Not stated","2022","Both sexes","Galway City","Number","9308"
"Ability to speak Irish - Not stated","2022","Both sexes","Galway County","Number","9190"
"Ability to speak Irish - Not stated","2022","Both sexes","Leitrim","Number","1628"
"Ability to speak Irish - Not stated","2022","Both sexes","Mayo","Number","6254"
"Ability to speak Irish - Not stated","2022","Both sexes","Roscommon","Number","3418"
"Ability to speak Irish - Not stated","2022","Both sexes","Sligo","Number","4008"
"Ability to speak Irish - Not stated","2022","Both sexes","Cavan","Number","4484"
"Ability to speak Irish - Not stated","2022","Both sexes","Donegal","Number","7827"
"Ability to speak Irish - Not stated","2022","Both sexes","Monaghan","Number","2769"
"Ability to speak Irish - Not stated","2022","Male","State","Number","176511"
"Ability to speak Irish - Not stated","2022","Male","Carlow","Number","2031"
"Ability to speak Irish - Not stated","2022","Male","Dublin City","Number","40724"
"Ability to speak Irish - Not stated","2022","Male","Dún Laoghaire-Rathdown","Number","3746"
"Ability to speak Irish - Not stated","2022","Male","Fingal","Number","11996"
"Ability to speak Irish - Not stated","2022","Male","South Dublin","Number","10554"
"Ability to speak Irish - Not stated","2022","Male","Kildare","Number","6081"
"Ability to speak Irish - Not stated","2022","Male","Kilkenny","Number","2525"
"Ability to speak Irish - Not stated","2022","Male","Laois","Number","2883"
"Ability to speak Irish - Not stated","2022","Male","Longford","Number","2907"
"Ability to speak Irish - Not stated","2022","Male","Louth","Number","4900"
"Ability to speak Irish - Not stated","2022","Male","Meath","Number","4838"
"Ability to speak Irish - Not stated","2022","Male","Offaly","Number","2445"
"Ability to speak Irish - Not stated","2022","Male","Westmeath","Number","3424"
"Ability to speak Irish - Not stated","2022","Male","Wexford","Number","4173"
"Ability to speak Irish - Not stated","2022","Male","Wicklow","Number","3579"
"Ability to speak Irish - Not stated","2022","Male","Clare","Number","3917"
