ed_name,county,all_irish_speakers,never_speaks_irish_outside_education_only,not_stated,speaks_irish_daily,speaks_irish_daily_education_only,speaks_irish_less_often,speaks_irish_weekly,share_daily_of_all,share_daily_education_only_of_all,share_weekly_of_all,share_less_often_of_all,share_never_outside_education_only_of_all,share_not_stated_of_all,share_daily_any_of_all
Aghadown South,Cork County,293,65,7,11,68,122,20,0.03754266211604096,0.23208191126279865,0.06825938566552901,0.41638225255972694,0.22184300341296928,0.023890784982935155,0.2696245733788396
Aghafin,Roscommon,50,6,1,4,18,15,6,0.08,0.36,0.12,0.3,0.12,0.02,0.44
Aghagower North,Mayo,451,113,18,19,150,127,24,0.04212860310421286,0.3325942350332594,0.05321507760532151,0.28159645232815966,0.25055432372505543,0.03991130820399113,0.37472283813747226
Aghagower South,Mayo,30,16,1,0,2,9,2,0.0,0.06666666666666667,0.06666666666666667,0.3,0.5333333333333333,0.03333333333333333,0.06666666666666667
Aghamore,Mayo,252,56,7,5,79,84,21,0.01984126984126984,0.3134920634920635,0.08333333333333333,0.3333333333333333,0.2222222222222222,0.027777777777777776,0.3333333333333333
Aghanagh,Sligo,164,44,5,2,52,52,9,0.012195121951219513,0.3170731707317073,0.054878048780487805,0.3170731707317073,0.2682926829268293,0.03048780487804878,0.32926829268292684
Aghancon,Offaly,139,46,2,1,33,48,9,0.007194244604316547,0.23741007194244604,0.06474820143884892,0.34532374100719426,0.33093525179856115,0.014388489208633094,0.2446043165467626
Aghanlish/Aghalateeve,Leitrim,74,25,4,0,15,27,3,0.0,0.20270270270270271,0.04054054054054054,0.36486486486486486,0.33783783783783783,0.05405405405405406,0.20270270270270271
Agharra,Longford,171,50,4,3,54,48,12,0.017543859649122806,0.3157894736842105,0.07017543859649122,0.2807017543859649,0.29239766081871343,0.023391812865497075,0.3333333333333333
Aghavas,Leitrim,133,36,4,1,24,47,21,0.007518796992481203,0.18045112781954886,0.15789473684210525,0.3533834586466165,0.2706766917293233,0.03007518796992481,0.18796992481203006
Aghaviller,Kilkenny,220,44,2,1,74,85,14,0.004545454545454545,0.33636363636363636,0.06363636363636363,0.38636363636363635,0.2,0.00909090909090909,0.3409090909090909
Aghern,Cork County,96,34,1,1,27,28,5,0.010416666666666666,0.28125,0.052083333333333336,0.2916666666666667,0.3541666666666667,0.010416666666666666,0.2916666666666667
Aghinagh,Cork County,236,46,3,10,76,80,21,0.0423728813559322,0.3220338983050847,0.08898305084745763,0.3389830508474576,0.19491525423728814,0.012711864406779662,0.3644067796610169
Aghmacart,Laois,173,40,2,4,51,55,21,0.023121387283236993,0.2947976878612717,0.12138728323699421,0.3179190751445087,0.23121387283236994,0.011560693641618497,0.3179190751445087
Aghnameadle,Tipperary,173,51,8,4,48,57,5,0.023121387283236993,0.2774566473988439,0.028901734104046242,0.32947976878612717,0.2947976878612717,0.046242774566473986,0.30057803468208094
Aghowle,Wicklow,81,21,0,0,30,26,4,0.0,0.37037037037037035,0.04938271604938271,0.32098765432098764,0.25925925925925924,0.0,0.37037037037037035
Aglish,Cork County,767,195,11,18,229,257,57,0.02346805736636245,0.2985658409387223,0.07431551499348109,0.3350717079530639,0.2542372881355932,0.014341590612777053,0.3220338983050847
Aglish,Kerry,232,69,9,4,73,67,10,0.017241379310344827,0.3146551724137931,0.04310344827586207,0.28879310344827586,0.2974137931034483,0.03879310344827586,0.33189655172413796
Aglish,Kilkenny,403,112,10,8,102,151,20,0.019851116625310174,0.2531017369727047,0.04962779156327544,0.3746898263027295,0.27791563275434245,0.02481389578163772,0.2729528535980149
Aglishcloghane,Tipperary,101,28,4,2,26,38,3,0.019801980198019802,0.25742574257425743,0.0297029702970297,0.37623762376237624,0.27722772277227725,0.039603960396039604,0.27722772277227725
Ahascragh,Galway County,256,59,10,10,69,90,18,0.0390625,0.26953125,0.0703125,0.3515625,0.23046875,0.0390625,0.30859375
Ahil,Cork County,79,15,2,3,25,30,4,0.0379746835443038,0.31645569620253167,0.05063291139240506,0.379746835443038,0.189873417721519,0.02531645569620253,0.35443037974683544
Aille,Galway County,169,45,6,6,40,64,8,0.03550295857988166,0.23668639053254437,0.047337278106508875,0.378698224852071,0.26627218934911245,0.03550295857988166,0.27218934911242604
Aillemore,Mayo,154,39,2,5,40,58,10,0.032467532467532464,0.2597402597402597,0.06493506493506493,0.37662337662337664,0.2532467532467532,0.012987012987012988,0.2922077922077922
Aird Mhór,"Port Láirge, 227002",123,18,4,8,42,32,19,0.06504065040650407,0.34146341463414637,0.15447154471544716,0.2601626016260163,0.14634146341463414,0.032520325203252036,0.4065040650406504
Airport,Fingal,1066,225,70,52,334,315,70,0.04878048780487805,0.3133208255159475,0.06566604127579738,0.2954971857410882,0.21106941838649157,0.06566604127579738,0.3621013133208255
Allow,Cork County,238,80,5,0,65,72,16,0.0,0.27310924369747897,0.06722689075630252,0.3025210084033613,0.33613445378151263,0.02100840336134454,0.27310924369747897
Allt na Péiste,Dún na nGall,192,12,3,39,70,51,17,0.203125,0.3645833333333333,0.08854166666666667,0.265625,0.0625,0.015625,0.5677083333333334
Altidore,Wicklow,178,50,9,2,44,65,8,0.011235955056179775,0.24719101123595505,0.0449438202247191,0.3651685393258427,0.2808988764044944,0.05056179775280899,0.25842696629213485
An Baile Breac,Ciarraí,44,10,1,2,2,26,3,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.5909090909090909,0.22727272727272727,0.022727272727272728,0.09090909090909091
An Baile Dubh,"Ciarraí, 077016",81,11,2,9,16,27,16,0.1111111111111111,0.19753086419753085,0.19753086419753085,0.3333333333333333,0.13580246913580246,0.024691358024691357,0.30864197530864196
An Bhinn Bhán,Dún na nGall,56,13,0,1,14,20,8,0.017857142857142856,0.25,0.14285714285714285,0.35714285714285715,0.23214285714285715,0.0,0.26785714285714285
An Caisleán Gearr,Cathair na Gaillimhe,1401,331,35,90,299,543,103,0.06423982869379015,0.21341898643825838,0.07351891506067094,0.3875802997858672,0.23625981441827265,0.024982155603140613,0.27765881513204854
An Caisleán Nua,Cathair na Gaillimhe,707,180,29,30,78,313,77,0.042432814710042434,0.11032531824611033,0.10891089108910891,0.44271570014144274,0.2545968882602546,0.04101838755304102,0.15275813295615276
An Carn Mór,Gaillimh,1377,281,15,50,387,547,97,0.03631082062454612,0.28104575163398693,0.07044299201161947,0.3972403776325345,0.20406681190994916,0.010893246187363835,0.31735657225853303
An Cheapaigh Dhuibh,Maigh Eo,251,26,7,34,60,75,49,0.13545816733067728,0.23904382470119523,0.1952191235059761,0.29880478087649404,0.10358565737051793,0.027888446215139442,0.3745019920318725
